issn_id,collection,subject_area
0102-4450,,"Linguística, Letras e Artes"
0102-4698,,Ciências Humanas
0102-6445,,Ciências Humanas
0102-6720,,Ciências da Saúde
0102-6909,,Ciências Humanas
0102-695X,,Ciências da Saúde
0102-6992,,Ciências Humanas
0102-6992,,Ciências Sociais Aplicadas
0102-7182,,Ciências Humanas
0102-7638,,Ciências da Saúde
0102-7786,,Ciências Exatas e da Terra
0102-7972,,Ciências Humanas
0102-8529,,Ciências Humanas
0102-8650,,Ciências da Saúde
0102-8839,,Ciências Humanas
0102-8839,,Ciências Sociais Aplicadas
0103-0582,,Ciências da Saúde
0103-0663,,Ciências da Saúde
0103-1104,,Ciências da Saúde
0103-166X,,Ciências Humanas
0103-1759,,Ciências Exatas e da Terra
0103-1813,,"Linguística, Letras e Artes"
0103-2003,,Ciências Humanas
0103-2003,,Ciências Sociais Aplicadas
0103-2070,,Ciências Humanas
0103-2100,,Ciências da Saúde
0103-2186,,Ciências Humanas
0103-3131,,Ciências Biológicas
0103-3352,,Ciências Humanas
0103-3786,,Ciências Sociais Aplicadas
0103-4014,,Ciências Humanas
0103-4979,,Ciências Humanas
0103-4979,,Ciências Sociais Aplicadas
0103-5053,,Ciências Exatas e da Terra
0103-507X,,Ciências da Saúde
0103-5150,,Ciências da Saúde
0103-5665,,Ciências Humanas
0103-6351,,Ciências Sociais Aplicadas
0103-636X,,Ciências Humanas
0103-6440,,Ciências da Saúde
0103-6513,,Engenharias
0103-6564,,Ciências Humanas
0103-7307,,Ciências Humanas
0103-7331,,Ciências Humanas
0103-7331,,Ciências da Saúde
0103-8478,,Ciências Agrárias
0103-863X,,Ciências Humanas
0103-9016,,Ciências Agrárias
0103-9733,,Ciências Exatas e da Terra
0104-026X,,Ciências Humanas
0104-0618,,Ciências Sociais Aplicadas
0104-0707,,Ciências da Saúde
0104-1169,,Ciências da Saúde
0104-1290,,Ciências Humanas
0104-1290,,Ciências da Saúde
0104-1428,,Engenharias
0104-4036,,Ciências Humanas
0104-4060,,Ciências Humanas
0104-4230,,Ciências da Saúde
0104-4478,,Ciências Humanas
0104-530X,,Engenharias
0104-5687,,Ciências da Saúde
0104-5970,,Ciências Humanas
0104-5970,,Ciências da Saúde
0104-6276,,Ciências Humanas
0104-6497,,Ciências Biológicas
0104-6500,,Ciências Exatas e da Terra
0104-6632,,Engenharias
0104-7183,,Ciências Humanas
0104-7760,,Ciências Agrárias
0104-7930,,Ciências Agrárias
0104-7930,,Ciências Biológicas
0104-8023,,Ciências Humanas
0104-8333,,Ciências Humanas
0104-8775,,Ciências Humanas
0104-9224,,Engenharias
0104-9313,,Ciências Humanas
0120-0011,,Ciências da Saúde
0120-0062,,Ciências Humanas
0120-0135,,Ciências Agrárias
0120-0283,,Ciências Exatas e da Terra
0120-0488,,Ciências Biológicas
0120-0534,,Ciências Humanas
0120-0690,,Ciências Agrárias
0120-0739,,Ciências Agrárias
0120-0739,,Ciências Biológicas
0120-0976,,Ciências Sociais Aplicadas
0120-100X,,Engenharias
0120-1263,,Ciências Humanas
0120-131X,,Ciências Humanas
0120-1468,,Ciências Humanas
0120-159X,,Ciências Sociais Aplicadas
0120-1751,,Ciências Exatas e da Terra
0120-2448,,Ciências da Saúde
0120-2456,,Ciências Humanas
0120-2596,,Ciências Sociais Aplicadas
0120-2804,,Ciências Exatas e da Terra
0120-2812,,Ciências Agrárias
0120-2952,,Ciências Agrárias
0120-3053,,Ciências Sociais Aplicadas
0120-3347,,Ciências da Saúde
0120-338X,,"Linguística, Letras e Artes"
0120-3479,,"Linguística, Letras e Artes"
0120-3584,,Ciências Sociais Aplicadas
0120-3592,,Ciências Sociais Aplicadas
0120-3630,,Ciências Exatas e da Terra
0120-3649,,Ciências Humanas
0120-386X,,Ciências da Saúde
0120-3886,,Ciências Humanas
0120-3886,,Ciências Sociais Aplicadas
0120-3916,,Ciências Humanas
0120-4157,,Ciências da Saúde
0120-419X,,Ciências Exatas e da Terra
0120-4483,,Ciências Humanas
0120-4645,,Ciências Sociais Aplicadas
0120-4688,,Ciências Humanas
0120-4807,,Ciências Humanas
0120-4823,,Ciências Sociais Aplicadas
0120-4874,,Ciências da Saúde
0120-5307,,Ciências Humanas
0120-5323,,Ciências Humanas
0120-548X,,Ciências Biológicas
0120-5552,,Ciências da Saúde
0120-5587,,Ciências Humanas
0120-5609,,Engenharias
0120-5633,,Ciências da Saúde
0120-5927,,"Linguística, Letras e Artes"
0120-6230,,Engenharias
0120-6346,,Ciências Sociais Aplicadas
0120-8160,,Ciências Sociais Aplicadas
0120-8705,,Ciências da Saúde
0120-8748,,Ciências da Saúde
0120-8942,,Ciências Sociais Aplicadas
0120-971X,,Ciências da Saúde
0120-9957,,Ciências da Saúde
0120-9965,,Ciências Agrárias
0121-0319,,Ciências da Saúde
0121-053X,,"Linguística, Letras e Artes"
0121-0793,,Ciências da Saúde
0121-0807,,Ciências da Saúde
0121-1129,,Engenharias
0121-1617,,Ciências Humanas
0121-182X,,Ciências Sociais Aplicadas
0121-1935,,Ciências Biológicas
0121-1935,,Ciências Exatas e da Terra
0121-215X,,Ciências Humanas
0121-246X,,Ciências da Saúde
0121-2494,,Ciências Sociais Aplicadas
0121-3261,,Ciências Humanas
0121-3261,,Ciências Sociais Aplicadas
0121-3261,,Ciências da Saúde
0121-3628,,Ciências Humanas
0121-3709,,Ciências Agrárias
0121-3709,,Ciências Sociais Aplicadas
0121-3709,,Ciências da Saúde
0121-3814,,Ciências Sociais Aplicadas
0121-4004,,Ciências da Saúde
0121-4381,,Ciências Humanas
0121-4470,,Ciências Exatas e da Terra
0121-4500,,Ciências da Saúde
0121-4705,,Ciências Humanas
0121-4772,,Ciências Sociais Aplicadas
0121-4993,,Engenharias
0121-5051,,Ciências Sociais Aplicadas
0121-5167,,Ciências Humanas
0121-5256,,Ciências da Saúde
0121-5469,,Ciências Humanas
0121-5612,,Ciências Humanas
0121-6805,,Ciências Sociais Aplicadas
0121-7488,,Ciências Sociais Aplicadas
0121-750X,,Engenharias
0121-7550,,Ciências Humanas
0121-7550,,Ciências Sociais Aplicadas
0121-7577,,Ciências da Saúde
0121-8123,,Ciências da Saúde
0121-8417,,Ciências Humanas
0121-8530,,Ciências Humanas
0121-8697,,Ciências Sociais Aplicadas
0122-0268,,Ciências Agrárias
0122-0667,,Ciências da Saúde
0122-1213,,Ciências Sociais Aplicadas
0122-1450,,Ciências Agrárias
0122-1450,,Ciências Sociais Aplicadas
0122-2066,,Ciências Humanas
0122-3461,,Engenharias
0122-4409,,Ciências Humanas
0122-5197,,Ciências Humanas
0122-5383,,Engenharias
0122-7238,,Ciências Humanas
0122-7483,,Ciências Biológicas
0122-7483,,Ciências Exatas e da Terra
0122-8285,,"Linguística, Letras e Artes"
0122-8285,,Ciências Humanas
0122-8285,,Ciências Sociais Aplicadas
0122-8706,,Ciências Agrárias
0122-8803,,Ciências Sociais Aplicadas
0122-9354,,Ciências Agrárias
0122-9761,,Ciências Biológicas
0122-9761,,Ciências Exatas e da Terra
0122-9893,,Ciências Sociais Aplicadas
0123-1294,,Ciências Humanas
0123-1472,,Ciências Sociais Aplicadas
0123-2126,,Engenharias
0123-3033,,Engenharias
0123-3068,,Ciências Biológicas
0123-3122,,Ciências Biológicas
0123-3122,,Ciências Humanas
